Row,Entity,Position X,Position Y,id,length(M),width(M),"type(B=3,D=1,T=2)",parking_type,parking_side
A-001-01,Tracker,342052.3997,3313398.305,0,30,3.92,2,,
A-001-01,Bridge,342054.3587,3313397.965,1,0.64,0.6,3,,
A-001-01,Tracker,342052.3997,3313352.532,2,45,3.92,2,,
A-001-01,Dock,342052.3464,3313352.107,3,0.75,0.9,0,Central,South
A-001-01,Tracker,342052.3997,3313306.574,4,45,3.92,2,,
A-002-01,Tracker,342063.1997,3313392.355,0,30,3.92,2,,
A-002-01,Bridge,342065.1587,3313392.015,1,0.82,0.6,3,,
A-002-01,Tracker,342063.1997,3313346.582,2,45,3.92,2,,
A-002-01,Dock,342063.1464,3313346.157,3,0.75,0.9,0,Central,South
A-002-01,Tracker,342063.1997,3313300.624,4,45,3.92,2,,
A-003-01,Tracker,342073.9997,3313509.236,0,30,3.92,2,,
A-003-01,Bridge,342075.9587,3313508.896,1,0.82,0.6,3,,
A-003-01,Tracker,342073.9997,3313478.478,2,30,3.92,2,,
A-003-01,Bridge,342075.9587,3313478.138,3,0.64,0.6,3,,
A-003-01,Tracker,342073.9997,3313447.72,4,30,3.92,2,,
A-003-01,Bridge,342075.9587,3313447.38,5,0.64,0.6,3,,
A-003-01,Tracker,342073.9997,3313416.962,6,30,3.92,2,,
A-003-01,Dock,342073.9464,3313416.507,7,1.05,0.9,0,Central,South
A-003-01,Tracker,342073.9997,3313386.004,8,30,3.92,2,,
A-003-01,Bridge,342075.9587,3313385.664,9,0.64,0.6,3,,
A-003-01,Tracker,342073.9997,3313355.246,10,30,3.92,2,,
A-003-01,Bridge,342075.9587,3313354.906,11,0.64,0.6,3,,
A-003-01,Tracker,342073.9997,3313324.488,12,30,3.92,2,,
A-003-01,Bridge,342075.9587,3313324.148,13,0.64,0.6,3,,
A-003-01,Tracker,342073.9997,3313293.73,14,30,3.92,2,,
A-004-01,Tracker,342084.7997,3313534.044,0,30,3.92,2,,
A-004-01,Bridge,342086.7587,3313533.704,1,0.64,0.6,3,,
A-004-01,Tracker,342084.7997,3313503.286,2,30,3.92,2,,
A-004-01,Bridge,342086.7587,3313502.946,3,0.82,0.6,3,,
A-004-01,Tracker,342084.7997,3313472.528,4,30,3.92,2,,
A-004-01,Bridge,342086.7587,3313472.188,5,0.82,0.6,3,,
A-004-01,Tracker,342084.7997,3313441.77,6,30,3.92,2,,
A-004-01,Dock,342084.7464,3313441.315,7,1.05,0.9,0,Central,South
A-004-01,Tracker,342084.7997,3313410.812,8,30,3.92,2,,
