Block,Array,Row,Entity,Entity Name,Position X,Position Y,Area,Gap,Soltec Name,Full,docking,tracker length,bridge type
A,A-001,A-001-01,Tracker,A-001-01-T01/01,342052.3997,3313398.305,120,,TR 19.A.12.5,ANG2-A-001-01-T01/01,,30,
A,A-001,A-001-01,Bridge,A-001-01-B01/02,342054.3587,3313397.965,,40-64,,ANG2-A-001-01-B01/02,,,
A,A-001,A-001-01,Tracker,A-001-01-T02/03,342052.3997,3313352.532,180,,TR 17.A.02.1,ANG2-A-001-01-T02/03,,,
A,A-001,A-001-01,Dock,A-001-01-D01/04,342052.3464,3313352.107,,72-75,,ANG2-A-001-01-D01/04,,,
A,A-001,A-001-01,Tracker,A-001-01-T03/05,342052.3997,3313306.574,180,,TR 17.A.02.3,ANG2-A-001-01-T03/05,,,
A,A-002,A-002-01,Tracker,A-002-01-T01/01,342063.1997,3313392.355,120,,TR 19.A.12.4,ANG2-A-002-01-T01/01,,,
A,A-002,A-002-01,Bridge,A-002-01-B01/02,342065.1587,3313392.015,,65-82,,ANG2-A-002-01-B01/02,,,
A,A-002,A-002-01,Tracker,A-002-01-T02/03,342063.1997,3313346.582,180,,TR 17.A.02.2,ANG2-A-002-01-T02/03,,,
A,A-002,A-002-01,Dock,A-002-01-D01/04,342063.1464,3313346.157,,72-75,,ANG2-A-002-01-D01/04,,,
A,A-002,A-002-01,Tracker,A-002-01-T03/05,342063.1997,3313300.624,180,,TR 17.A.02.4,ANG2-A-002-01-T03/05,,,
A,A-003,A-003-01,Tracker,A-003-01-T01/01,342073.9997,3313509.236,120,,TR 19.A.01.8,ANG2-A-003-01-T01/01,,,
A,A-003,A-003-01,Bridge,A-003-01-B01/02,342075.9587,3313508.896,,65-82,,ANG2-A-003-01-B01/02,,,
A,A-003,A-003-01,Tracker,A-003-01-T02/03,342073.9997,3313478.478,120,,TR 19.A.01.6,ANG2-A-003-01-T02/03,,,
A,A-003,A-003-01,Bridge,A-003-01-B02/04,342075.9587,3313478.138,,40-64,,ANG2-A-003-01-B02/04,,,
